# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	7.354474067687988281e-01	3.692215681076049805e+00
3.999999910593032837e-02	1.000000000000000000e+00	7.289842367172241211e-01	4.047727584838867188e+00
7.999999821186065674e-02	2.000000000000000000e+00	7.207055091857910156e-01	4.432855606079101562e+00
1.199999973177909851e-01	3.000000000000000000e+00	7.286189794540405273e-01	4.710098743438720703e+00
1.599999964237213135e-01	4.000000000000000000e+00	7.318326234817504883e-01	5.021207809448242188e+00
2.000000029802322388e-01	5.000000000000000000e+00	7.347316741943359375e-01	5.331881523132324219e+00
2.399999946355819702e-01	6.000000000000000000e+00	7.312299013137817383e-01	5.670219898223876953e+00
2.800000011920928955e-01	7.000000000000000000e+00	7.323316335678100586e-01	5.994235038757324219e+00
3.199999928474426270e-01	8.000000000000000000e+00	7.368838787078857422e-01	6.300081253051757812e+00
3.600000143051147461e-01	9.000000000000000000e+00	7.324899435043334961e-01	6.627346992492675781e+00
4.000000059604644775e-01	1.000000000000000000e+01	7.277292609214782715e-01	6.981929779052734375e+00
4.399999976158142090e-01	1.100000000000000000e+01	7.288332581520080566e-01	7.309899330139160156e+00
4.799999892711639404e-01	1.200000000000000000e+01	7.382608056068420410e-01	7.566733837127685547e+00
5.199999809265136719e-01	1.300000000000000000e+01	7.365577220916748047e-01	7.904646873474121094e+00
5.600000023841857910e-01	1.400000000000000000e+01	7.362754940986633301e-01	8.219070434570312500e+00
6.000000238418579102e-01	1.500000000000000000e+01	7.347620129585266113e-01	8.541449546813964844e+00
6.399999856948852539e-01	1.600000000000000000e+01	7.315227985382080078e-01	8.889688491821289062e+00
6.800000071525573730e-01	1.700000000000000000e+01	7.311490178108215332e-01	9.183680534362792969e+00
7.200000286102294922e-01	1.800000000000000000e+01	7.313647866249084473e-01	9.513440132141113281e+00
7.599999904632568359e-01	1.900000000000000000e+01	7.334828376770019531e-01	9.807981491088867188e+00
8.000000119209289551e-01	2.000000000000000000e+01	7.346526980400085449e-01	1.012092685699462891e+01
8.399999737739562988e-01	2.100000000000000000e+01	7.294067740440368652e-01	1.043284702301025391e+01
8.799999952316284180e-01	2.200000000000000000e+01	7.347606420516967773e-01	1.073042201995849609e+01
9.200000166893005371e-01	2.300000000000000000e+01	7.310689687728881836e-01	1.108398246765136719e+01
9.599999785423278809e-01	2.400000000000000000e+01	7.226380705833435059e-01	1.141785240173339844e+01
1.000000000000000000e+00	2.500000000000000000e+01	7.179219722747802734e-01	1.176489162445068359e+01
1.039999961853027344e+00	2.600000000000000000e+01	7.260654568672180176e-01	1.200181198120117188e+01
1.080000042915344238e+00	2.700000000000000000e+01	7.153185606002807617e-01	1.234463977813720703e+01
1.120000004768371582e+00	2.800000000000000000e+01	7.119141221046447754e-01	1.266685581207275391e+01
1.159999966621398926e+00	2.900000000000000000e+01	7.108395099639892578e-01	1.293223381042480469e+01
1.200000047683715820e+00	3.000000000000000000e+01	7.137316465377807617e-01	1.320889282226562500e+01
1.240000009536743164e+00	3.100000000000000000e+01	6.747268438339233398e-01	1.377723884582519531e+01
1.279999971389770508e+00	3.200000000000000000e+01	6.868003010749816895e-01	1.388620567321777344e+01
1.320000052452087402e+00	3.300000000000000000e+01	6.945964694023132324e-01	1.404105281829833984e+01
1.360000014305114746e+00	3.400000000000000000e+01	6.888096332550048828e-01	1.429120540618896484e+01
1.399999976158142090e+00	3.500000000000000000e+01	6.926571726799011230e-01	1.454360866546630859e+01
1.440000057220458984e+00	3.600000000000000000e+01	6.616530418395996094e-01	1.501860332489013672e+01
1.480000019073486328e+00	3.700000000000000000e+01	6.525447368621826172e-01	1.526804924011230469e+01
1.519999980926513672e+00	3.800000000000000000e+01	6.345587968826293945e-01	1.566821956634521484e+01
1.559999942779541016e+00	3.900000000000000000e+01	6.328907608985900879e-01	1.589958763122558594e+01
1.600000023841857910e+00	4.000000000000000000e+01	6.266653537750244141e-01	1.612982368469238281e+01
1.639999985694885254e+00	4.100000000000000000e+01	6.188833713531494141e-01	1.638018989562988281e+01
1.679999947547912598e+00	4.200000000000000000e+01	5.978916287422180176e-01	1.672259902954101562e+01
1.720000028610229492e+00	4.300000000000000000e+01	5.888679623603820801e-01	1.699364852905273438e+01
1.759999990463256836e+00	4.400000000000000000e+01	5.834322571754455566e-01	1.722846603393554688e+01
1.799999952316284180e+00	4.500000000000000000e+01	5.605228543281555176e-01	1.748369216918945312e+01
1.840000033378601074e+00	4.600000000000000000e+01	5.451976060867309570e-01	1.777422523498535156e+01
1.879999995231628418e+00	4.700000000000000000e+01	5.353055596351623535e-01	1.800637245178222656e+01
